CustomerId,Product,Product_StartDate,Product_EndDate
1,1,1/1/2018,1/1/2019
1,1,1/1/2019,1/1/2020
1,2,1/1/2020,7/1/2020
1,2,7/1/2020,1/1/2021
1,2,1/1/2021,12/31/9999
2,2,1/1/2018,7/1/2018
2,1,7/1/2018,7/1/2019
2,2,7/1/2019,1/1/2020
2,2,1/1/2020,7/1/2020
2,1,7/1/2020,12/31/9999
3,1,1/1/2018,1/1/2019
3,1,1/1/2019,1/1/2020
3,2,1/1/2020,7/1/2020
3,2,7/1/2020,12/31/9999
4,2,1/1/2018,7/1/2018
4,2,7/1/2018,1/1/2019
4,2,1/1/2019,7/1/2019
4,1,7/1/2019,7/1/2020
4,1,7/1/2020,12/31/9999
5,1,1/1/2018,1/1/2019
5,1,1/1/2019,12/31/9999
6,2,1/1/2018,7/1/2018
6,1,7/1/2018,7/1/2019
6,2,7/1/2019,1/1/2020
6,2,1/1/2020,7/1/2020
6,2,7/1/2020,1/1/2021
6,2,1/1/2021,12/31/9999
7,1,1/1/2018,12/31/9999
8,2,1/1/2018,7/1/2018
8,2,7/1/2018,1/1/2019
8,2,1/1/2019,7/1/2019
8,1,7/1/2019,7/1/2020
8,1,7/1/2020,12/31/9999
9,2,1/1/2018,7/1/2018
9,2,7/1/2018,1/1/2019
9,2,1/1/2019,7/1/2019
9,1,7/1/2019,7/1/2020
9,2,7/1/2020,1/1/2021
9,1,1/1/2021,12/31/9999
10,1,1/1/2018,1/1/2019
10,1,1/1/2019,1/1/2020
10,2,1/1/2020,7/1/2020
10,2,7/1/2020,1/1/2021
10,2,1/1/2021,12/31/9999
11,1,1/1/2018,1/1/2019
11,1,1/1/2019,1/1/2020
11,1,1/1/2020,1/1/2021
11,1,1/1/2021,12/31/9999
12,1,1/1/2018,1/1/2019
12,1,1/1/2019,1/1/2020
12,2,1/1/2020,7/1/2020
12,2,7/1/2020,1/1/2021
12,2,1/1/2021,12/31/9999
13,1,1/1/2018,1/1/2019
13,2,1/1/2019,7/1/2019
13,2,7/1/2019,1/1/2020
13,1,1/1/2020,1/1/2021
13,2,1/1/2021,12/31/9999
14,1,1/1/2018,1/1/2019
14,1,1/1/2019,1/1/2020
14,1,1/1/2020,1/1/2021
14,2,1/1/2021,12/31/9999
15,2,1/1/2018,7/1/2018
15,2,7/1/2018,1/1/2019
15,2,1/1/2019,7/1/2019
15,2,7/1/2019,1/1/2020
15,2,1/1/2020,7/1/2020
15,1,7/1/2020,12/31/9999
16,1,1/1/2018,1/1/2019
16,1,1/1/2019,1/1/2020
16,2,1/1/2020,7/1/2020
16,2,7/1/2020,1/1/2021
16,2,1/1/2021,12/31/9999
17,2,1/1/2018,7/1/2018
17,2,7/1/2018,1/1/2019
17,1,1/1/2019,1/1/2020
17,1,1/1/2020,1/1/2021
17,2,1/1/2021,12/31/9999
18,1,1/1/2018,12/31/9999
19,1,1/1/2018,1/1/2019
19,1,1/1/2019,1/1/2020
19,2,1/1/2020,12/31/9999
20,1,1/1/2018,12/31/9999
21,1,1/1/2018,1/1/2019
21,2,1/1/2019,7/1/2019
21,1,7/1/2019,7/1/2020
21,2,7/1/2020,1/1/2021
21,1,1/1/2021,12/31/9999
22,1,1/1/2018,1/1/2019
22,2,1/1/2019,7/1/2019
22,2,7/1/2019,1/1/2020
22,2,1/1/2020,7/1/2020
22,2,7/1/2020,1/1/2021
22,2,1/1/2021,12/31/9999
23,1,1/1/2018,12/31/9999
24,2,1/1/2018,12/31/9999
25,2,1/1/2018,12/31/9999
26,2,1/1/2018,7/1/2018
26,1,7/1/2018,7/1/2019
26,1,7/1/2019,12/31/9999
27,1,1/1/2018,1/1/2019
27,1,1/1/2019,1/1/2020
27,1,1/1/2020,1/1/2021
27,1,1/1/2021,12/31/9999
28,2,1/1/2018,7/1/2018
28,2,7/1/2018,1/1/2019
28,2,1/1/2019,7/1/2019
28,1,7/1/2019,7/1/2020
28,1,7/1/2020,12/31/9999
29,2,1/1/2018,12/31/9999
30,1,1/1/2018,1/1/2019
30,1,1/1/2019,1/1/2020
30,1,1/1/2020,1/1/2021
30,2,1/1/2021,12/31/9999
31,2,1/1/2018,7/1/2018
31,1,7/1/2018,7/1/2019
31,2,7/1/2019,1/1/2020
31,2,1/1/2020,7/1/2020
31,2,7/1/2020,1/1/2021
31,2,1/1/2021,12/31/9999
32,1,1/1/2018,1/1/2019
32,1,1/1/2019,1/1/2020
32,2,1/1/2020,7/1/2020
32,2,7/1/2020,1/1/2021
32,1,1/1/2021,12/31/9999
33,2,1/1/2018,7/1/2018
33,1,7/1/2018,12/31/9999
34,2,1/1/2018,12/31/9999
35,2,1/1/2018,7/1/2018
35,2,7/1/2018,1/1/2019
35,2,1/1/2019,7/1/2019
35,2,7/1/2019,1/1/2020
35,2,1/1/2020,7/1/2020
35,1,7/1/2020,12/31/9999
36,1,1/1/2018,1/1/2019
36,1,1/1/2019,1/1/2020
36,1,1/1/2020,1/1/2021
